target_file,function_name,line_num,# of totfailed_TCs,# of mutants,m1:f2p,m1:p2f,m2:f2p,m2:p2f,m3:f2p,m3:p2f,m4:f2p,m4:p2f,m5:f2p,m5:p2f,|muse(s)|,total_f2p,total_p2f,line_total_f2p,line_total_p2f,muse_1,muse_2,muse_3,muse_4,muse susp. score,met susp. score,bug,rank
xmlschemas.c,"xmlSchemaCheckGroupDefCircular(xmlSchemaModelGroupDefPtr item, xmlSchemaParserCtxtPtr ctxt)",18880.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckCSelectorXPath(xmlSchemaParserCtxtPtr ctxt, xmlSchemaIDCPtr idc, xmlSchemaIDCSelectPtr selector, xmlAttrPtr attr, int isField)",7960.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckSRCCT(xmlSchemaParserCtxtPtr ctxt, xmlSchemaTypePtr type)",16615.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaCheckSRCRedefineFirst(xmlSchemaParserCtxtPtr pctxt),20393.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,xmlSchemaCheckSRCRedefineSecond(xmlSchemaParserCtxtPtr pctxt),20568.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckSTPropsCorrect(xmlSchemaParserCtxtPtr ctxt, xmlSchemaTypePtr type)",15159.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckSubstGroupCircular(xmlSchemaElementPtr elemDecl, xmlSchemaElementPtr ancestor)",19493.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckTypeDefCircular(xmlSchemaTypePtr item, xmlSchemaParserCtxtPtr ctxt)",14948.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckTypeDefCircularInternal(xmlSchemaParserCtxtPtr pctxt, xmlSchemaTypePtr ctxtType, xmlSchemaTypePtr ancestor)",14910.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckUnionTypeDefCircular(xmlSchemaParserCtxtPtr pctxt, xmlSchemaTypePtr type)",15012.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckUnionTypeDefCircularRecur(xmlSchemaParserCtxtPtr pctxt, xmlSchemaTypePtr ctxType, xmlSchemaTypeLinkPtr members)",14973.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCleanupDoc(xmlSchemaParserCtxtPtr ctxt, xmlNodePtr root)",9512.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
